Brand,CPU,GPU,RAM Type,RAM Size (GB),Storage (GB),Screen Type,Refresh Rate (Hz),Uniqueness,Upgradeable,Price (Rupiah)
LENOVO,RYZEN 7-7730,-,DDR4,16GB,512GB,IPS,60,"['fingerprint', 'flex']",0,10099000
ACER,I5-125,-,DDR5,16GB,512GB,IPS,60,[],1,10099000
ASUS,RYZEN 7-5800,-,DDR4,16GB,512GB,OLED,60,[],1,10123000
HP,I5-1335,-,DDR4,8GB,512GB,LED,60,[],1,10150000
,I9-10885,-,DDR4,,,IPS,60,[],1,10150000
LENOVO,I3-100,-,DDR4,8GB,512GB,IPS,60,[],0,10190000
HP,I3-100,-,DDR4,8GB,512GB,IPS,60,[],1,10190000
HP,I5-120,-,DDR4,8GB,512GB,IPS,60,['fingerprint'],1,10199000
HP,I5-1335,-,DDR4,16GB,512GB,IPS,60,['fingerprint'],1,10199000
LENOVO,I5-1335,-,DDR4,16GB,512GB,IPS,60,"['fingerprint', 'flex']",0,10199000
ASUS,RYZEN 7-7730,-,DDR4,8GB,512GB,LED,60,['fingerprint'],1,10201800
HP,I5-1334,GEFORCE MX570,DDR4,8GB,512GB,IPS,60,[],1,10290000
LENOVO,RYZEN 7-7730,-,DDR4,16GB,512GB,IPS,60,"['fingerprint', 'flex']",0,10299000
LENOVO,I7-1255,-,DDR4,8GB,512GB,IPS,60,[],1,10299000
HP,I5-120,-,DDR4,8GB,512GB,IPS,60,['fingerprint'],1,10349000
HP,I5-120,-,DDR4,8GB,512GB,IPS,60,['fingerprint'],1,10349000
LENOVO,I5-1335,-,DDR4,8GB,512GB,IPS,60,['flex'],0,10374000
HP,I5-120,-,DDR4,8GB,512GB,IPS,60,[],1,10379000
MSI,I7-12650,RTX 2050,DDR4,8GB,512GB,IPS,144,[],1,10391600
ASUS,I7-1355,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,10399000
ASUS,I5-1335,-,DDR4,8GB,512GB,LED,60,['fingerprint'],1,10399000
ASUS,I7-1355,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,10419000
ASUS,I7-1355,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,10469000
ASUS,I7-1355,-,DDR4,8GB,1024GB,VA,60,['fingerprint'],1,10469000
ASUS,I7-1335,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,10469000
HP,I7-150,-,DDR4,16GB,512GB,IPS,60,[],1,10499000
ASUS,I5-1335,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,10499000
ASUS,I7-1355,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,10499000
HP,I7-1255,-,DDR4,16GB,512GB,IPS,60,[],1,10499000
HP,I5-1135,-,DDR4,8GB,1024GB,LED,60,[],1,10499000
ASUS,I7-1355,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,10499000
HP,RYZEN 5-7540,-,DDR5,16GB,,LED,60,[],1,10499000
LENOVO,RYZEN 5-5300,-,DDR4,8GB,,IPS,60,['flex'],1,10499000
HP,I5-1335,-,DDR4,8GB,512GB,LED,60,[],1,10550000
ASUS,I7-1355,-,DDR4,8GB,512GB,VA,60,[],1,10579000
HP,I5-1240,-,DDR4,8GB,512GB,IPS,60,[],1,10587203
HP,I5-12450,GEFORCE RTX3050,DDR4,8GB,512GB,IPS,144,[],1,10589000
ACER,I7-11370,-,DDR4,16GB,1024GB,IPS,60,[],1,10589000
HP,I5-1235,-,DDR4,8GB,512GB,IPS,60,[],1,10599000
ASUS,I7-1355,-,DDR4,8GB,512GB,VA,60,['fingerprint'],1,10599000
LENOVO,I7-13620,-,DDR5,16GB,512GB,IPS,60,[],0,10619000
