No,Brand,CPU,GPU,RAM Type,RAM Size (GB),Storage (GB),Screen Type,Refresh Rate (Hz),Uniqueness,Upgradeable,Price (Rupiah)
250,HP,Intel Core i7-1255U,,DDR4,16,512.0,LED,60,1,1,9749000
251,LENOVO,Intel Core i7-1250U,,DDR4,16,256.0,LED,60,0,1,9774000
252,LENOVO,Intel Core i7-1250U,,DDR5,16,512.0,LED,60,0,0,9799000
253,LENOVO,Intel Core i5-12450HX,RTX 2050,DDR5,12,512.0,LED,60,0,1,9839000
254,LENOVO,AMD Ryzen 7 7730U,,DDR4,16,512.0,LED,60,2,0,9874000
255,ASUS,Intel Core i7-1255U,,DDR4,16,256.0,LED,60,0,1,9874000
256,LENOVO,Intel Core i5-12450HX,RTX 3050 Laptop,DDR4,12,512.0,LED,60,0,1,9900000
257,HP,Intel Core i5-13450HX,RTX 3050 Laptop,DDR4,16,512.0,LED,144,0,1,9949000
258,DELL,Intel Core i5-1334U,,DDR5,16,512.0,LED,60,1,1,9999000
259,ASUS,Intel Core i7-1255U,,DDR4,16,512.0,LED,60,0,1,9999000
260,LENOVO,Intel Core i3-10300,,DDR5,8,512.0,LED,60,1,0,9999000
261,ASUS,Intel Core i5-1235U,,DDR4,16,256.0,LED,60,0,1,9999000
262,ASUS,Intel Core i5-8265U,,DDR4,8,512.0,LED,60,0,1,10000000
263,ACER,Intel Core i5-10210U,,DDR4,8,512.0,LED,60,0,1,10000000
264,LENOVO,Intel Core i7-1260P,,DDR5,16,512.0,LED,90,0,1,10050000
265,HP,Intel Core i7-1255U,,DDR4,8,512.0,LED,60,0,1,10050000
266,LENOVO,AMD Ryzen 7 7730U,,DDR4,16,512.0,LED,60,2,0,10099000
267,ACER,Intel Core i5-1235U,,DDR5,16,512.0,LED,60,0,1,10099000
268,ASUS,AMD Ryzen 7 5800HS,,DDR4,16,512.0,OLED,60,0,1,10123000
269,HP,Intel Core i5-1335U,,DDR4,8,512.0,LED,60,0,1,10150000
270,,Intel Core i9-10885H,,DDR4,8,512.0,LED,60,0,1,10150000
271,LENOVO,Intel Core i3-10300,,DDR4,8,512.0,LED,60,0,0,10190000
272,HP,Intel Core i3-10300,,DDR4,8,512.0,LED,60,0,1,10190000
273,HP,Intel Core i5-1240P,,DDR4,8,512.0,LED,60,1,1,10199000
274,HP,Intel Core i5-1335U,,DDR4,16,512.0,LED,60,1,1,10199000
275,LENOVO,Intel Core i5-1335U,,DDR4,16,512.0,LED,60,2,0,10199000
276,ASUS,AMD Ryzen 7 7730U,,DDR4,8,512.0,LED,60,1,1,10201800
277,HP,Intel Core i5-1334U,,DDR4,8,512.0,LED,60,0,1,10290000
278,LENOVO,AMD Ryzen 7 7730U,,DDR4,16,512.0,LED,60,2,0,10299000
279,LENOVO,Intel Core i7-1255U,,DDR4,8,512.0,LED,60,0,1,10299000
280,HP,Intel Core i5-1240P,,DDR4,8,512.0,LED,60,1,1,10349000
